year,month,hscode,description,unit,quantity,value,revenue
2074,4,85161000,Electric instantaneous or storage water he  ters and immersion heaters,PCS,6286.0,2849.6000000000004,860.8100000000001
2074,4,85162100,Electric storage heating radiators   .,PCS,1196.0,984.01,286.81
2074,4,85162900,"Electric space heating and soil heating ap  aratus, nes",PCS,595.0,708.7600000000001,190.31
2074,4,85163100,Electro-thermic hair dryers   .,PCS,5825.0,460.51,156.64000000000001
2074,4,85163200,"Electro-thermic hair-dressing apparatus, e  c (excl dryers)",PCS,7507.0,907.8200000000002,296.35
2074,4,85163300,Electro-thermic hand-drying apparatus   .,PCS,631.0,171.23,52.489999999999995
2074,4,85164000,Electrical smoothing irons   .,PCS,13378.0,4532.29,1318.9100000000003
2074,4,85165000,Microwave ovens   .,PCS,64.0,316.00999999999993,97.72
2074,4,85166000,"Electric ovens, nes; cookers, cooking plat _ s, boiling ring",PCS,35676.0,33670.520000000004,10135.94
2074,4,85167100,Electro-thermic coffee or tea makers  . .,PCS,171.0,6636.040000000001,1983.9499999999998
2074,4,85167200,Electro-thermic toasters  . .,PCS,1096.0,848.89,253.51999999999998
2074,4,85167900,"Electro-thermic domestic appliances, nes  . .",PCS,34054.0,13107.260000000004,3898.3399999999997
2074,4,85168000,Electric heating resistors (excl those of   545).,PCS,4531.0,957.47,284.90000000000003
2074,4,85169000,Parts of electro-thermic appliances of 85 1 .,PCS,4144.0,1054.75,317.18
2074,4,87032110,Auto rickshaw (three wheeler) <=1000 cc,PCS,1109.0,164691.66,205981.0
2074,4,87032190,Other vehicles of a capacity  upto 1000cc   .,PCS,187.0,62871.590000000004,139317.44000000003
2074,4,87032200,Vehicles of a cylinder capacity exceeding   000 cc but not exceeding 1500 cc.,PCS,568.0,359065.42000000004,789927.23
2074,4,87032300,Vehicles of a cylinder capacity exceeding   500 cc but not exceeding 3000 cc.,PCS,185.0,199491.69,428537.5
2074,4,87033100,Vehicles with diesel engine of cylinder  ca acity <1500cc,PCS,58.0,31515.28,69682.27
2074,4,87033200,Vehicles with diesel engine of cylinder  ca acity 1500-2500cc,PCS,107.0,150966.50999999998,324164.25999999995
2074,4,87033300,Vehicles of a cylinder capacity exceeding   500 cc,PCS,90.0,59293.98,129227.40000000001
2074,4,87038010,"Other vehicles, with only electric motor for propulsion.",PCS,319.0,39115.69,3877.4
2074,4,87038090,"Other vehicles, with only electric motor for propulsion.",PCS,6.0,20935.23,5306.3
2074,4,87039011,Electric operated three wheeler  .........._ ...............,PCS,122.0,6340.07,631.34
2074,4,87021010,Bus (with a capacity 26 seats and above) (  iesel or semi diesel engine).,PCS,99.0,158940.19,81392.21
2074,4,87021020,Mini-bus (15 - 25 seats)  . .,PCS,19.0,35147.19,34476.06
2074,4,87021030,Micro-bus (11 to 14 seats)   .,PCS,31.0,26071.070000000003,32735.68
2074,4,87021090,"Jeep, Car, Van (diesel or semi diesel engi  e)",PCS,5.0,4936.88,11043.11
2074,4,87029010,Buses (> 25 seats),PCS,2.0,3205.85,1560.0
2074,4,87112010,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,1696.0,121116.92,124850.10000000002
2074,4,87112090,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,36788.0,2348939.5500000003,2425869.2899999996
2074,4,87113010,Motorcycles with reciprocating piston engi  e of capacity 250-500cc,PCS,644.0,97837.93999999999,101044.81
2074,4,87113090,Motorcycles with reciprocating piston engi  e of capacity 250-500cc,PCS,4.0,534.25,551.88
2074,4,87115000,Motorcycles with reciprocating piston engi  e of capacity >800cc.,PCS,7.0,5287.35,5577.0199999999995
2074,4,87119010,"Electrically Operated Motorcycle, moped etc",PCS,179.0,20003.5,4860.990000000001
2074,5,85161000,Electric instantaneous or storage water he  ters and immersion heaters,PCS,27907.0,6382.419999999998,2071.05
2074,5,85162100,Electric storage heating radiators   .,PCS,258.0,66.48000000000002,19.980000000000018
2074,5,85162900,"Electric space heating and soil heating ap  aratus, nes",PCS,14672.0,7830.360000000001,1315.82
2074,5,85163100,Electro-thermic hair dryers   .,PCS,4339.0,726.9100000000001,227.1
2074,5,85163200,"Electro-thermic hair-dressing apparatus, e  c (excl dryers)",PCS,8019.0,5365.65,1637.4500000000003
2074,5,85163300,Electro-thermic hand-drying apparatus   .,PCS,4129.0,680.5,217.55
2074,5,85164000,Electrical smoothing irons   .,PCS,19064.0,6097.820000000001,1778.1400000000003
2074,5,85165000,Microwave ovens   .,PCS,1452.0,11450.859999999999,3070.1400000000003
2074,5,85166000,"Electric ovens, nes; cookers, cooking plat _ s, boiling ring",PCS,83581.0,64402.63000000002,19099.57
2074,5,85167100,Electro-thermic coffee or tea makers  . .,PCS,1015.0,11603.259999999998,3495.26
2074,5,85167200,Electro-thermic toasters  . .,PCS,292.0,150.64,44.72000000000003
2074,5,85167900,"Electro-thermic domestic appliances, nes  . .",PCS,98529.0,24006.620000000003,7387.299999999999
2074,5,85168000,Electric heating resistors (excl those of   545).,PCS,14458.0,2927.3600000000006,898.8699999999997
2074,5,85169000,Parts of electro-thermic appliances of 85 1 .,PCS,25773.0,1662.4899999999998,519.1800000000001
